STATION;LAT;LON;ALT;PARAMETER;YEAR;MONTH;DAY;HOUR;AVERAGING_PERIOD;CONCENTRATION;UNITS
Station12;6.2525611;-75.5695801;1;pm25;2018;12;31;23;1;18;ug/m3
Station25;6.2633696;-75.5770035;1;pm25;2018;12;31;23;1;10;ug/m3
Station28;6.1856666;-75.5972061;1;pm25;2018;12;31;23;1;7;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2018;12;31;23;1;1;ug/m3
Station31;6.0990806;-75.6386261;1;pm25;2018;12;31;23;1;11;ug/m3
Station38;6.1684971;-75.6443558;1;pm25;2018;12;31;23;1;11;ug/m3
Station44;6.1825418;-75.5506363;1;pm25;2018;12;31;23;1;2;ug/m3
Station48;6.1523128;-75.6274872;1;pm25;2018;12;31;23;1;4;ug/m3
Station69;6.0930777;-75.637764;1;pm25;2018;12;31;23;1;13.8011;ug/m3
Station78;6.1555305;-75.6441727;1;pm25;2018;12;31;23;1;9;ug/m3
Station79;6.2218938;-75.6106033;1;pm25;2018;12;31;23;1;9.79546;ug/m3
Station80;6.2589092;-75.5482635;1;pm25;2018;12;31;23;1;1.23349;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2018;12;31;23;1;7.23299;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2018;12;31;23;1;12.1448;ug/m3
Station83;6.2372341;-75.610466;1;pm25;2018;12;31;23;1;7.38997;ug/m3
Station84;6.1998701;-75.5609512;1;pm25;2018;12;31;23;1;4.96909;ug/m3
Station85;6.2778502;-75.6364288;1;pm25;2018;12;31;23;1;18.9698;ug/m3
Station86;6.2904806;-75.5555191;1;pm25;2018;12;31;23;1;14.6499;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2018;12;31;23;1;9.63909;ug/m3
Station88;6.1686831;-75.5819702;1;pm25;2018;12;31;23;1;6.20158;ug/m3
Station90;6.1433334;-75.6202774;1;pm25;2018;12;31;23;1;6.20754;ug/m3
Station12;6.2525611;-75.5695801;1;pm25;2019;1;1;0;1;15;ug/m3
Station25;6.2633696;-75.5770035;1;pm25;2019;1;1;0;1;7;ug/m3
Station28;6.1856666;-75.5972061;1;pm25;2019;1;1;0;1;16;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;1;1;0;1;4;ug/m3
Station31;6.0990806;-75.6386261;1;pm25;2019;1;1;0;1;9;ug/m3
Station38;6.1684971;-75.6443558;1;pm25;2019;1;1;0;1;11;ug/m3
Station44;6.1825418;-75.5506363;1;pm25;2019;1;1;0;1;7;ug/m3
Station48;6.1523128;-75.6274872;1;pm25;2019;1;1;0;1;6;ug/m3
Station69;6.0930777;-75.637764;1;pm25;2019;1;1;0;1;7.49094;ug/m3
Station78;6.1555305;-75.6441727;1;pm25;2019;1;1;0;1;18;ug/m3
Station79;6.2218938;-75.6106033;1;pm25;2019;1;1;0;1;17.013;ug/m3
Station80;6.2589092;-75.5482635;1;pm25;2019;1;1;0;1;6.11616;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;1;1;0;1;8.36168;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;1;1;0;1;8.43952;ug/m3
Station83;6.2372341;-75.610466;1;pm25;2019;1;1;0;1;3.67001;ug/m3
Station84;6.1998701;-75.5609512;1;pm25;2019;1;1;0;1;8.63643;ug/m3
Station85;6.2778502;-75.6364288;1;pm25;2019;1;1;0;1;16.313;ug/m3
Station86;6.2904806;-75.5555191;1;pm25;2019;1;1;0;1;15.7251;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;1;1;0;1;16.7603;ug/m3
Station88;6.1686831;-75.5819702;1;pm25;2019;1;1;0;1;3.68842;ug/m3
Station90;6.1433334;-75.6202774;1;pm25;2019;1;1;0;1;7.40739;ug/m3
Station12;6.2525611;-75.5695801;1;pm25;2019;1;1;1;1;12;ug/m3
Station25;6.2633696;-75.5770035;1;pm25;2019;1;1;1;1;7;ug/m3
Station28;6.1856666;-75.5972061;1;pm25;2019;1;1;1;1;20;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;1;1;1;1;15;ug/m3
Station31;6.0990806;-75.6386261;1;pm25;2019;1;1;1;1;20;ug/m3
Station38;6.1684971;-75.6443558;1;pm25;2019;1;1;1;1;12;ug/m3
Station44;6.1825418;-75.5506363;1;pm25;2019;1;1;1;1;10;ug/m3
Station48;6.1523128;-75.6274872;1;pm25;2019;1;1;1;1;17;ug/m3
Station69;6.0930777;-75.637764;1;pm25;2019;1;1;1;1;18.6272;ug/m3
Station78;6.1555305;-75.6441727;1;pm25;2019;1;1;1;1;13;ug/m3
Station79;6.2218938;-75.6106033;1;pm25;2019;1;1;1;1;22.762;ug/m3
Station80;6.2589092;-75.5482635;1;pm25;2019;1;1;1;1;10.9359;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;1;1;1;1;11.8582;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;1;1;1;1;8.37871;ug/m3
Station83;6.2372341;-75.610466;1;pm25;2019;1;1;1;1;12.1806;ug/m3
Station84;6.1998701;-75.5609512;1;pm25;2019;1;1;1;1;11.0568;ug/m3
Station85;6.2778502;-75.6364288;1;pm25;2019;1;1;1;1;23.6623;ug/m3
Station86;6.2904806;-75.5555191;1;pm25;2019;1;1;1;1;25.267;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;1;1;1;1;15.4604;ug/m3
Station88;6.1686831;-75.5819702;1;pm25;2019;1;1;1;1;17.0806;ug/m3
Station90;6.1433334;-75.6202774;1;pm25;2019;1;1;1;1;12.2797;ug/m3
Station12;6.2525611;-75.5695801;1;pm25;2019;1;1;2;1;9;ug/m3
Station25;6.2633696;-75.5770035;1;pm25;2019;1;1;2;1;19;ug/m3
Station28;6.1856666;-75.5972061;1;pm25;2019;1;1;2;1;30;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;1;1;2;1;20;ug/m3
Station31;6.0990806;-75.6386261;1;pm25;2019;1;1;2;1;14;ug/m3
Station38;6.1684971;-75.6443558;1;pm25;2019;1;1;2;1;18;ug/m3
Station44;6.1825418;-75.5506363;1;pm25;2019;1;1;2;1;40;ug/m3
Station48;6.1523128;-75.6274872;1;pm25;2019;1;1;2;1;20;ug/m3
Station69;6.0930777;-75.637764;1;pm25;2019;1;1;2;1;17.3315;ug/m3
Station78;6.1555305;-75.6441727;1;pm25;2019;1;1;2;1;20;ug/m3
Station79;6.2218938;-75.6106033;1;pm25;2019;1;1;2;1;37.0552;ug/m3
Station80;6.2589092;-75.5482635;1;pm25;2019;1;1;2;1;13.3358;ug/m3
Station81;6.4369602;-75.3303986;1;pm25;2019;1;1;2;1;21.2652;ug/m3
Station82;6.3453598;-75.5047531;1;pm25;2019;1;1;2;1;15.4872;ug/m3
Station83;6.2372341;-75.610466;1;pm25;2019;1;1;2;1;16.9827;ug/m3
Station84;6.1998701;-75.5609512;1;pm25;2019;1;1;2;1;12.2301;ug/m3
Station85;6.2778502;-75.6364288;1;pm25;2019;1;1;2;1;30.9196;ug/m3
Station86;6.2904806;-75.5555191;1;pm25;2019;1;1;2;1;31.19;ug/m3
Station87;6.3375502;-75.5678024;1;pm25;2019;1;1;2;1;37.8724;ug/m3
Station88;6.1686831;-75.5819702;1;pm25;2019;1;1;2;1;28.0098;ug/m3
Station90;6.1433334;-75.6202774;1;pm25;2019;1;1;2;1;10.9779;ug/m3
Station12;6.2525611;-75.5695801;1;pm25;2019;1;1;3;1;23;ug/m3
Station25;6.2633696;-75.5770035;1;pm25;2019;1;1;3;1;19;ug/m3
Station28;6.1856666;-75.5972061;1;pm25;2019;1;1;3;1;54;ug/m3
Station3;6.3790379;-75.4509125;1;pm25;2019;1;1;3;1;29;ug/m3
Station31;6.0990806;-75.6386261;1;pm25;2019;1;1;3;1;22;ug/m3
Station38;6.1684971;-75.6443558;1;pm25;2019;1;1;3;1;26;ug/m3
Station44;6.1825418;-75.5506363;1;pm25;2019;1;1;3;1;9;ug/m3
